384,491
5507,11791
388,1044
5510,11173
5511,11017
4745,9351
784,1766
530,1355
531,1049
917,11176
539,1351
669,1352
671,1352
680,1355
697,1406
698,1407
4670,9187
4671,9322
4677,9349
337,1737
338,707
355,764
870,1734
5465,2912
6170,12184
6171,12184
6172,12349
5295,10603
5296,2912
6076,12789
6077,12788
5310,2675
6079,12788
6083,11993
965,1902
6086,2556
2637,5273
5461,11085
5462,2912
2649,5267
2650,1925
5473,11085
5543,11085
5544,11084
6078,12001
1272,5124
1273,2543
6402,10573
6403,10572
1927,3852
1929,3849
1930,3848
1934,5380
1937,5381
1836,3666
1837,5608
1838,3702
1840,3703
1841,3703
1848,5609
6075,11860
1866,3726
1878,3727
6368,10572
6369,10573
5989,11860
5990,12016
5991,12017
2793,5609
2026,3848
5995,11861
2797,5462
2032,3726
2033,3727
2807,5465
2809,5464
2810,5466
5994,11861
